Intersection Name,Intersection ID,dt_bin,Direction,Movement Type,Vehicle Classification,Number of Vehicles
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,EB,RT,Car,72
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,EB,RT,ArticulatedTruck,36
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,EB,LT,Car,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,EB,RT,SingleUnitTruck,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,EB,THRU,Car,60
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,NB,THRU,WorkVan,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,NB,RT,Car,240
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,NB,RT,PickupTruck,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,NB,THRU,Car,1776
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,NB,THRU,ArticulatedTruck,228
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,NB,LT,Car,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,NB,THRU,PickupTruck,60
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,NB,THRU,SingleUnitTruck,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,SB,THRU,Car,1584
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,SB,THRU,ArticulatedTruck,444
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,SB,LT,Car,36
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,SB,THRU,PickupTruck,36
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,SB,RT,ArticulatedTruck,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,WB,LT,Car,204
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,WB,RT,WorkVan,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,WB,RT,Car,48
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,WB,THRU,Car,96
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:00:00,WB,LT,PickupTruck,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,EB,RT,ArticulatedTruck,84
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,EB,RT,Car,72
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,EB,THRU,ArticulatedTruck,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,EB,THRU,Car,60
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,NB,LT,Car,48
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,NB,THRU,Car,1632
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,NB,THRU,WorkVan,24
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,NB,THRU,PickupTruck,24
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,NB,THRU,ArticulatedTruck,276
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,NB,RT,Car,108
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,NB,THRU,SingleUnitTruck,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,SB,RT,Car,96
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,SB,THRU,SingleUnitTruck,12
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,SB,THRU,ArticulatedTruck,816
Dorchester Road and Huron Church Road,2fbf,2020-02-01 00:15:00,SB,RT,ArticulatedTruck,24
